gen,worse,avg,best
0,994.5012048192771,1160.3544483723158,1287.9015151515152
1,994.5012048192771,1199.7507752188458,1287.9015151515152
10,1197.0011834319528,1336.0134843463536,1337.4011049723758
100,1462.5009433962264,1479.435880374425,1479.6010309278352
101,1462.5009433962264,1479.435880374425,1479.6010309278352
102,1462.5009433962264,1479.435880374425,1479.6010309278352
103,1462.5009433962264,1479.435880374425,1479.6010309278352
104,1462.5009433962264,1479.4995088537062,1479.6010309278352
105,1462.5009433962264,1479.4995088537062,1479.6010309278352
106,1462.5009433962264,1479.4995088537062,1479.6010309278352
107,1462.5009433962264,1479.4995088537062,1479.6010309278352
108,1462.5009433962264,1479.4995088537062,1479.6010309278352
109,1462.5009433962264,1479.4995088537062,1479.6010309278352
11,1197.0011834319528,1336.1287740448297,1337.4011049723758
110,1462.5009433962264,1479.4995088537062,1479.6010309278352
111,1462.5009433962264,1479.4995088537062,1479.6010309278352
112,1462.5009433962264,1479.4995088537062,1479.6010309278352
113,1462.5009433962264,1479.4995088537062,1479.6010309278352
114,1462.5009433962264,1479.4995088537062,1479.6010309278352
115,1462.5009433962264,1479.4995088537062,1479.6010309278352
116,1462.5009433962264,1479.4995088537062,1479.6010309278352
117,1462.5009433962264,1479.4995088537062,1479.6010309278352
118,1462.5009433962264,1479.4995088537062,1479.6010309278352
119,1462.5009433962264,1479.4995088537062,1479.6010309278352
12,1228.501092896175,1336.1350740267226,1337.4011049723758
120,1462.5009433962264,1479.4995088537062,1479.6010309278352
121,1462.5009433962264,1479.4995088537062,1479.6010309278352
122,1462.5009433962264,1479.4995088537062,1479.6010309278352
123,1462.5009433962264,1479.4995088537062,1479.6010309278352
124,1462.5009433962264,1479.4995088537062,1479.6010309278352
125,1462.5009433962264,1479.4995088537062,1479.6010309278352
126,1462.5009433962264,1479.4995088537062,1479.6010309278352
127,1462.5009433962264,1479.4995088537062,1479.6010309278352
128,1462.5009433962264,1479.4995088537062,1479.6010309278352
129,1479.6010309278352,1479.6010309276276,1479.6010309278352
13,1278.9010582010583,1336.3679963319325,1337.4011049723758
130,1421.1010416666668,1474.7270248963525,1479.6010309278352
131,1378.8009174311926,1473.3119583838284,1479.6010309278352
132,1378.8009174311926,1473.649161490056,1479.6010309278352
133,1378.8009174311926,1473.649672609476,1479.6010309278352
134,1404.900900900901,1473.7332121524057,1479.6010309278352
135,1404.900900900901,1478.2090920038904,1479.6010309278352
136,1416.601052631579,1478.2102620190633,1479.6010309278352
137,1421.1010416666668,1478.6271430362895,1479.6010309278352
138,1421.1010416666668,1478.629302779281,1479.6010309278352
139,1422.0009345794392,1478.6293927685724,1479.6010309278352
14,1278.9010582010583,1336.3679963319325,1337.4011049723758
140,1422.0009345794392,1478.912981954123,1479.6010309278352
141,1422.0009345794392,1478.912981954123,1479.6010309278352
142,1422.0009345794392,1478.9216220508793,1479.6010309278352
143,1422.0009345794392,1479.0119813822998,1479.6010309278352
144,1458.9009523809525,1479.0181913457977,1479.6010309278352
145,1458.9009523809525,1479.0181913457977,1479.6010309278352
146,1458.9009523809525,1479.0181913457977,1479.6010309278352
147,1458.9009523809525,1479.0181913457977,1479.6010309278352
148,1458.9009523809525,1502.4719822775835,1520.100980392157
149,1466.1010309278352,1515.9172455635764,1520.100980392157
15,1278.9010582010583,1336.3679963319325,1337.4011049723758
150,1466.1010309278352,1516.3525764456688,1520.100980392157
151,1466.1010309278352,1516.3525764456688,1520.100980392157
152,1466.1010309278352,1516.3525764456688,1520.100980392157
153,1466.1010309278352,1516.3525764456688,1520.100980392157
154,1466.1010309278352,1516.3525764456688,1520.100980392157
155,1466.1010309278352,1516.3525764456688,1520.100980392157
156,1466.1010309278352,1516.3525764456688,1520.100980392157
157,1466.1010309278352,1516.3525764456688,1520.100980392157
158,1466.1010309278352,1516.3525764456688,1520.100980392157
159,1466.1010309278352,1516.3525764456688,1520.100980392157
16,1278.9010582010583,1336.3679963319325,1337.4011049723758
160,1466.1010309278352,1516.3525764456688,1520.100980392157
161,1466.1010309278352,1516.3525764456688,1520.100980392157
162,1466.1010309278352,1516.3525764456688,1520.100980392157
163,1484.1010416666668,1520.028980514418,1520.100980392157
164,1440.0009615384615,1513.7293033117817,1520.100980392157
165,1423.801,1512.0668088066875,1520.100980392157
166,1423.801,1511.8556759080725,1520.100980392157
167,1396.8009345794392,1511.821159485674,1520.100980392157
168,1396.8009345794392,1513.1762131833011,1520.100980392157
169,1396.8009345794392,1513.1762131833011,1520.100980392157
17,1278.9010582010583,1336.3679963319325,1337.4011049723758
170,1396.8009345794392,1513.1762131833011,1520.100980392157
171,1396.8009345794392,1513.1762131833011,1520.100980392157
172,1396.8009345794392,1513.1762131833011,1520.100980392157
173,1423.801,1514.3022875964566,1520.100980392157
174,1423.801,1514.3022875964566,1520.100980392157
175,1423.801,1514.3022875964566,1520.100980392157
176,1423.801,1514.3022875964566,1520.100980392157
177,1429.2010869565217,1514.3028276051523,1520.100980392157
178,1432.801,1514.4344058589622,1520.100980392157
179,1432.801,1514.4344058589622,1520.100980392157
18,1278.9010582010583,1352.8839494611148,1365.3010416666666
180,1432.801,1514.4344058589622,1520.100980392157
181,1432.801,1514.4344058589622,1520.100980392157
182,1432.801,1514.4344058589622,1520.100980392157
183,1432.801,1514.4344058589622,1520.100980392157
184,1432.801,1514.4344058589622,1520.100980392157
185,1440.0009615384615,1514.4452058551162,1520.100980392157
186,1440.0009615384615,1517.3853247696227,1520.100980392157
187,1454.4011363636364,1517.9554745397472,1520.100980392157
188,1465.2010416666667,1518.006504578227,1520.100980392157
189,1465.2010416666667,1518.006504578227,1520.100980392157
19,1278.9010582010583,1367.789422961758,1378.8009708737864
190,1465.2010416666667,1518.006504578227,1520.100980392157
191,1465.2010416666667,1518.006504578227,1520.100980392157
192,1465.2010416666667,1518.006504578227,1520.100980392157
193,1465.2010416666667,1518.006504578227,1520.100980392157
194,1465.2010416666667,1518.006504578227,1520.100980392157
195,1465.2010416666667,1518.006504578227,1520.100980392157
196,1465.2010416666667,1518.006504578227,1520.100980392157
197,1465.2010416666667,1518.006504578227,1520.100980392157
198,1465.2010416666667,1537.135929098788,1551.6010101010102
199,1479.601052631579,1548.1707475599296,1551.6010101010102
2,1005.3011627906977,1203.0178714765345,1287.9015151515152
20,1278.9010582010583,1374.0119492945544,1378.8010416666666
200,1479.601052631579,1548.1707475599296,1551.6010101010102
201,1479.601052631579,1548.1707475599296,1551.6010101010102
202,1479.601052631579,1548.1707475599296,1551.6010101010102
203,1479.601052631579,1548.1707475599296,1551.6010101010102
204,1479.601052631579,1548.1707475599296,1551.6010101010102
205,1479.601052631579,1548.1707475599296,1551.6010101010102
206,1479.601052631579,1548.1707475599296,1551.6010101010102
207,1479.601052631579,1548.1707475599296,1551.6010101010102
208,1479.601052631579,1548.1707475599296,1551.6010101010102
209,1479.601052631579,1548.1707475599296,1551.6010101010102
21,1278.9010582010583,1377.622218576154,1378.8010416666666
210,1479.601052631579,1548.1707475599296,1551.6010101010102
211,1520.100980392157,1551.548510051409,1551.6010101010102
212,1370.7010416666667,1537.0570530590194,1551.6010101010102
213,1346.4011111111113,1533.706838193983,1551.6010101010102
214,1346.4011111111113,1533.3581612269008,1551.6010101010102
215,1346.4011111111113,1533.4210851408927,1551.6010101010102
216,1346.4011111111113,1533.8898182223768,1551.6010101010102
217,1368.9010416666667,1534.8776623611618,1551.6010101010102
218,1368.9010416666667,1534.88324265211,1551.6010101010102
219,1368.9010416666667,1534.88324265211,1551.6010101010102
22,1278.9010582010583,1415.7617328787069,1444.5010989010989
220,1368.9010416666667,1534.88324265211,1551.6010101010102
221,1370.7010416666667,1535.0173418658555,1551.6010101010102
222,1372.5011494252874,1535.02526196981,1551.6010101010102
223,1372.5011494252874,1535.8008796295221,1551.6010101010102
224,1377.9010416666667,1537.4165583174913,1551.6010101010102
225,1377.9010416666667,1537.540578261523,1551.6010101010102
226,1385.1009523809525,1537.555878387059,1551.6010101010102
227,1400.4010752688173,1540.6284805992734,1551.6010101010102
228,1400.4010752688173,1540.63937064783,1551.6010101010102
229,1406.701030927835,1542.6539285159984,1551.6010101010102
23,1291.5011976047904,1437.448782426732,1444.5010989010989
230,1406.701030927835,1542.7129684496822,1551.6010101010102
231,1426.50101010101,1542.722508459601,1551.6010101010102
232,1426.50101010101,1542.722508459601,1551.6010101010102
233,1426.50101010101,1542.722508459601,1551.6010101010102
234,1426.50101010101,1542.722508459601,1551.6010101010102
235,1426.50101010101,1542.722508459601,1551.6010101010102
236,1426.50101010101,1542.722508459601,1551.6010101010102
237,1426.50101010101,1542.800537323979,1551.6010101010102
238,1426.50101010101,1542.8017973812093,1551.6010101010102
239,1437.3010526315788,1542.8296113460399,1551.6010101010102
24,1337.4011049723758,1443.1078075780151,1444.5010989010989
240,1437.3010526315788,1542.8616493747597,1551.6010101010102
241,1437.3010526315788,1542.8616493747597,1551.6010101010102
242,1437.3010526315788,1542.8616493747597,1551.6010101010102
243,1437.3010526315788,1542.8616493747597,1551.6010101010102
244,1437.3010526315788,1542.8616493747597,1551.6010101010102
245,1452.6012195121953,1544.443311683473,1551.6010101010102
246,1452.6012195121953,1544.443311683473,1551.6010101010102
247,1452.6012195121953,1545.3873238345159,1551.6010101010102
248,1452.6012195121953,1545.3873238345159,1551.6010101010102
249,1452.6012195121953,1545.3873238345159,1551.6010101010102
25,1365.3010416666666,1444.2638560867435,1444.5010989010989
250,1452.6012195121953,1545.3873238345159,1551.6010101010102
251,1452.6012195121953,1545.3873238345159,1551.6010101010102
252,1452.6012195121953,1545.3873238345159,1551.6010101010102
253,1452.6012195121953,1545.3873238345159,1551.6010101010102
254,1454.4010416666667,1545.390563742313,1551.6010101010102
255,1454.4010416666667,1545.390563742313,1551.6010101010102
256,1454.4010416666667,1545.390563742313,1551.6010101010102
257,1454.4010416666667,1545.390563742313,1551.6010101010102
258,1458.0009708737864,1545.4128835876843,1551.6010101010102
259,1458.0009708737864,1545.4128835876843,1551.6010101010102
26,1378.8010416666666,1459.2550113382097,1470.601
260,1458.0009708737864,1545.4128835876843,1551.6010101010102
261,1458.0009708737864,1545.4128835876843,1551.6010101010102
262,1458.0009708737864,1545.4128835876843,1551.6010101010102
263,1458.0009708737864,1545.4128835876843,1551.6010101010102
264,1467.0009900990099,1547.1795789233174,1551.6010101010102
265,1467.0009900990099,1547.1795789233174,1551.6010101010102
266,1467.0009900990099,1547.1795789233174,1551.6010101010102
267,1467.0009900990099,1547.1795789233174,1551.6010101010102
268,1467.0009900990099,1547.1795789233174,1551.6010101010102
269,1467.0009900990099,1547.1795789233174,1551.6010101010102
27,1442.7009523809525,1459.3643623031826,1470.601
270,1467.0009900990099,1547.1795789233174,1551.6010101010102
271,1467.0009900990099,1547.1795789233174,1551.6010101010102
272,1467.0009900990099,1547.1795789233174,1551.6010101010102
273,1467.0009900990099,1547.1795789233174,1551.6010101010102
274,1467.0009900990099,1547.1795789233174,1551.6010101010102
275,1467.0009900990099,1547.1795789233174,1551.6010101010102
276,1467.0009900990099,1547.1795789233174,1551.6010101010102
277,1467.0009900990099,1547.1795789233174,1551.6010101010102
278,1467.0009900990099,1547.1795789233174,1551.6010101010102
279,1467.0009900990099,1547.1795789233174,1551.6010101010102
28,1442.7009523809525,1459.3643623031826,1470.601
280,1467.0009900990099,1547.1795789233174,1551.6010101010102
281,1467.0009900990099,1547.1795789233174,1551.6010101010102
282,1467.0009900990099,1547.1795789233174,1551.6010101010102
283,1467.0009900990099,1547.1795789233174,1551.6010101010102
284,1467.0009900990099,1547.1795789233174,1551.6010101010102
285,1467.0009900990099,1547.1795789233174,1551.6010101010102
286,1467.0009900990099,1547.1795789233174,1551.6010101010102
287,1467.0009900990099,1547.1795789233174,1551.6010101010102
288,1467.0009900990099,1547.1795789233174,1551.6010101010102
289,1511.10099009901,1551.5440100491867,1551.6010101010102
29,1444.5010989010989,1461.0165363185617,1470.601
290,1368.0010416666667,1536.7330861450494,1551.6010101010102
291,1368.0010416666667,1537.520739806601,1551.6010101010102
292,1368.0010416666667,1537.076565862698,1551.6010101010102
293,1368.0010416666667,1537.5975480472503,1551.6010101010102
294,1375.2010204081632,1537.5997080408727,1551.6010101010102
295,1375.2010204081632,1537.6420079712432,1551.6010101010102
296,1375.2010204081632,1537.6420079712432,1551.6010101010102
297,1375.2010204081632,1537.642547979246,1551.6010101010102
298,1379.7010638297872,1537.6430879919321,1551.6010101010102
299,1379.7010638297872,1538.7620572442358,1551.6010101010102
3,1019.7010989010989,1227.8086793004652,1287.9015151515152
30,1420.2009345794393,1457.8421289284731,1470.601
300,1379.7010638297872,1541.3046478961128,1551.6010101010102
301,1409.4011363636364,1541.3134679953569,1551.6010101010102
302,1409.4011363636364,1541.3134679953569,1551.6010101010102
303,1409.4011363636364,1541.3134679953569,1551.6010101010102
304,1409.4011363636364,1541.3134679953569,1551.6010101010102
305,1413.0009900990099,1541.815046084574,1551.6010101010102
306,1413.0009900990099,1541.8663462323,1551.6010101010102
307,1413.0009900990099,1541.8663462323,1551.6010101010102
308,1413.0009900990099,1541.8663462323,1551.6010101010102
309,1413.0009900990099,1541.8663462323,1551.6010101010102
31,1415.7009708737864,1456.9751139343618,1470.601
310,1413.0009900990099,1541.8663462323,1551.6010101010102
311,1413.0009900990099,1541.8663462323,1551.6010101010102
312,1413.0009900990099,1541.8663462323,1551.6010101010102
313,1426.5009803921569,1541.868776253001,1551.6010101010102
314,1426.5009803921569,1541.868776253001,1551.6010101010102
315,1430.101052631579,1541.8691362602249,1551.6010101010102
316,1430.101052631579,1541.8691362602249,1551.6010101010102
317,1436.401052631579,1541.871656260225,1551.6010101010102
318,1436.401052631579,1541.871656260225,1551.6010101010102
319,1436.401052631579,1541.8777759147417,1551.6010101010102
32,1415.7009708737864,1458.1426241803101,1470.601
320,1438.2011111111112,1541.8781359264378,1551.6010101010102
321,1438.2011111111112,1541.8781359264378,1551.6010101010102
322,1441.801030927835,1543.4567404305783,1551.6010101010102
323,1455.3009900990098,1545.006266300282,1551.6010101010102
324,1455.3010869565217,1545.7772920966013,1551.6010101010102
325,1455.3010869565217,1545.7772920966013,1551.6010101010102
326,1455.3010869565217,1545.7772920966013,1551.6010101010102
327,1455.3010869565217,1545.7772920966013,1551.6010101010102
328,1455.3010869565217,1545.7772920966013,1551.6010101010102
329,1455.3010869565217,1545.7772920966013,1551.6010101010102
33,1391.4010752688173,1458.0959004236959,1470.601
330,1455.3010869565217,1545.7772920966013,1551.6010101010102
331,1455.3010869565217,1545.7916921361266,1551.6010101010102
332,1460.70099009901,1545.792232126441,1551.6010101010102
333,1495.8010204081631,1551.537810050332,1551.6010101010102
334,1413.9009708737865,1540.4183391292618,1551.6010101010102
335,1413.9009708737865,1545.9980056384663,1551.6010101010102
336,1390.5009900990099,1545.500116455228,1551.6010101010102
337,1390.5009900990099,1545.5869664545344,1551.6010101010102
338,1413.9009708737865,1545.5921579753224,1551.6010101010102
339,1413.9009708737865,1545.594317999344,1551.6010101010102
34,1415.7009708737864,1458.3252439587113,1470.601
340,1419.301030927835,1545.5948580053494,1551.6010101010102
341,1419.301030927835,1545.5948580053494,1551.6010101010102
342,1419.301030927835,1545.7433578475516,1551.6010101010102
343,1419.301030927835,1545.7433578475516,1551.6010101010102
344,1419.301030927835,1545.7433578475516,1551.6010101010102
345,1419.301030927835,1545.7433578475516,1551.6010101010102
346,1419.301030927835,1545.8968069104574,1551.6010101010102
347,1419.301030927835,1546.7826776490372,1551.6010101010102
348,1429.2010204081632,1546.7852876362113,1551.6010101010102
349,1429.2010204081632,1546.7852876362113,1551.6010101010102
