gen,worse,avg,best
0,278.0090361445783,322.72470416273643,364.25892857142856
1,278.5086206896552,334.2133707028488,364.25892857142856
10,364.757614213198,452.5080261689173,456.7559523809524
100,470.7568181818182,482.02446847191806,485.50625
101,471.25652173913045,483.09600532165484,485.50625
102,471.25652173913045,483.10158041537574,485.50625
103,471.25652173913045,483.10158041537574,485.50625
104,471.25652173913045,483.10158041537574,485.50625
105,471.25652173913045,483.10158041537574,485.50625
106,471.25652173913045,483.10158041537574,485.50625
107,471.25652173913045,483.10158041537574,485.50625
108,471.25652173913045,483.10158041537574,485.50625
109,471.25652173913045,483.10158041537574,485.50625
11,364.757614213198,455.6163836412332,456.7559523809524
110,471.25652173913045,483.10158041537574,485.50625
111,471.25652173913045,483.10158041537574,485.50625
112,471.25652173913045,483.10158041537574,485.50625
113,471.25652173913045,483.10158041537574,485.50625
114,471.25652173913045,483.10158041537574,485.50625
115,471.25652173913045,483.10158041537574,485.50625
116,477.7563025210084,483.7273276261414,485.50625
117,480.7564655172414,483.83160490184224,485.50625
118,449.00604838709677,480.43276797055194,485.50625
119,449.00604838709677,480.3558969745795,485.50625
12,388.0072463768116,456.52536715633096,456.7559523809524
120,443.7564655172414,480.1874047961318,485.50625
121,442.5064655172414,480.1685586726552,485.50625
122,442.5064655172414,481.9128509785652,485.50625
123,442.5064655172414,482.0916455959988,485.50625
124,442.5064655172414,482.09584538398514,485.50625
125,455.0059523809524,482.1069697502603,485.50625
126,455.0059523809524,482.1069697502603,485.50625
127,455.0059523809524,482.1069697502603,485.50625
128,455.0059523809524,482.1251206668934,485.50625
129,456.25581395348837,482.12537120488975,485.50625
13,388.0072463768116,456.61569091571914,456.7559523809524
130,456.25581395348837,482.12537120488975,485.50625
131,460.2564102564103,482.12817105661975,485.50625
132,462.2557251908397,482.2310547103089,485.50625
133,462.2557251908397,482.2310547103089,485.50625
134,462.2570093457944,482.2784233499789,485.50625
135,462.2570093457944,483.1983226465648,485.50625
136,462.2570093457944,483.1983974834161,485.50625
137,462.2570093457944,483.1983974834161,485.50625
138,462.2570093457944,483.1983974834161,485.50625
139,462.2570093457944,483.1983974834161,485.50625
14,400.7570093457944,456.6526644898546,456.7559523809524
140,462.2570093457944,483.1983974834161,485.50625
141,462.2570093457944,483.1983974834161,485.50625
142,480.256,483.7452070230882,485.50625
143,448.7567567567568,480.93168803260687,485.50625
144,446.25657894736844,480.3225589330377,485.50625
145,441.5060975609756,480.18666054871943,485.50625
146,441.5060975609756,481.5953744377286,485.50625
147,441.5060975609756,484.44628961354636,485.50625
148,446.25657894736844,485.2117618691626,485.50625
149,446.25657894736844,485.2117618691626,485.50625
15,450.2559523809524,468.26932496491355,477.0064655172414
150,446.25657894736844,485.6603537863966,486.00604838709677
151,446.25657894736844,485.91128605138084,486.00604838709677
152,457.25619834710744,485.91433591941995,486.00604838709677
153,465.2560975609756,485.9191112187818,486.00604838709677
154,465.2560975609756,485.92753602565426,486.00604838709677
155,480.00619834710744,485.99165552022106,486.00604838709677
156,480.00619834710744,485.99165552022106,486.00604838709677
157,480.00619834710744,485.99165552022106,486.00604838709677
158,480.00619834710744,485.99165552022106,486.00604838709677
159,480.00619834710744,485.99165552022106,486.00604838709677
16,450.2559523809524,474.9222889111189,477.0064655172414
160,480.00619834710744,485.99165552022106,486.00604838709677
161,480.00619834710744,485.99165552022106,486.00604838709677
162,486.00604838709677,486.00604838702134,486.00604838709677
163,475.5063559322034,485.1489306355896,486.00604838709677
164,440.005905511811,484.3791899865378,486.00604838709677
165,440.005905511811,484.3296920183261,486.00604838709677
166,440.005905511811,484.56275329025647,486.00604838709677
167,442.75625,485.49976891028035,486.00604838709677
168,457.7568181818182,485.52946720294096,486.00604838709677
169,457.7568181818182,485.52946720294096,486.00604838709677
17,450.2559523809524,474.92571406526434,477.0064655172414
170,457.7568181818182,485.52946720294096,486.00604838709677
171,457.7568181818182,485.52946720294096,486.00604838709677
172,457.7568181818182,485.52946720294096,486.00604838709677
173,457.7568181818182,485.52946720294096,486.00604838709677
174,457.7568181818182,485.52946720294096,486.00604838709677
175,457.7568181818182,485.52946720294096,486.00604838709677
