gen,worse,avg,best
0,823.503125,1024.1704682140773,1129.5023923444976
1,823.503125,1079.4852473556994,1155.002564102564
10,1149.752808988764,1281.1831791716722,1288.502380952381
100,1273.5024271844661,1309.778820684134,1310.2525773195875
101,1273.5024271844661,1309.778820684134,1310.2525773195875
102,1273.5024271844661,1309.778820684134,1310.2525773195875
103,1275.002336448598,1309.9036943381423,1310.2525773195875
104,1275.002336448598,1309.9036943381423,1310.2525773195875
105,1275.002336448598,1309.9036943381423,1310.2525773195875
106,1275.002336448598,1309.9036943381423,1310.2525773195875
107,1278.7524271844661,1309.9051193379694,1310.2525773195875
108,1284.002380952381,1309.9056443333461,1310.2525773195875
109,1284.002380952381,1309.9056443333461,1310.2525773195875
11,1149.752808988764,1281.250903704541,1288.502380952381
110,1284.002380952381,1309.9062443425928,1310.2525773195875
111,1284.002380952381,1309.9062443425928,1310.2525773195875
112,1284.002380952381,1309.9062443425928,1310.2525773195875
113,1287.0024271844661,1309.9069943880947,1310.2525773195875
114,1287.0024271844661,1309.9069943880947,1310.2525773195875
115,1287.0024271844661,1309.9069943880947,1310.2525773195875
116,1287.0024271844661,1309.9069943880947,1310.2525773195875
117,1287.0024271844661,1309.9069943880947,1310.2525773195875
118,1287.0024271844661,1309.9069943880947,1310.2525773195875
119,1287.0024271844661,1309.9069943880947,1310.2525773195875
12,1207.502358490566,1281.642949033388,1288.502380952381
120,1287.0024271844661,1309.9069943880947,1310.2525773195875
121,1287.0024271844661,1309.9069943880947,1310.2525773195875
122,1287.0024271844661,1309.9069943880947,1310.2525773195875
123,1287.0024271844661,1309.9069943880947,1310.2525773195875
124,1287.0024271844661,1309.9069943880947,1310.2525773195875
125,1287.0024271844661,1309.9069943880947,1310.2525773195875
126,1287.0024271844661,1309.9069943880947,1310.2525773195875
127,1287.0024271844661,1309.9069943880947,1310.2525773195875
128,1287.0024271844661,1309.9069943880947,1310.2525773195875
129,1287.0024271844661,1309.9069943880947,1310.2525773195875
13,1207.502358490566,1281.7146546792105,1288.502380952381
130,1287.0024271844661,1309.9069943880947,1310.2525773195875
131,1287.0024271844661,1309.9069943880947,1310.2525773195875
132,1287.0024271844661,1309.9069943880947,1310.2525773195875
133,1287.0024271844661,1309.9069943880947,1310.2525773195875
134,1287.0024271844661,1309.9069943880947,1310.2525773195875
135,1287.0024271844661,1309.9069943880947,1310.2525773195875
136,1287.0024271844661,1309.9069943880947,1310.2525773195875
137,1287.0024271844661,1309.9069943880947,1310.2525773195875
138,1287.0024271844661,1309.9069943880947,1310.2525773195875
139,1287.0024271844661,1309.9069943880947,1310.2525773195875
14,1272.7523148148148,1281.7330307935395,1288.502380952381
140,1287.0024271844661,1309.9069943880947,1310.2525773195875
141,1287.0024271844661,1309.9069943880947,1310.2525773195875
142,1287.0024271844661,1309.9069943880947,1310.2525773195875
143,1287.0024271844661,1309.9069943880947,1310.2525773195875
144,1287.0024271844661,1309.9069943880947,1310.2525773195875
145,1287.0024271844661,1309.9069943880947,1310.2525773195875
146,1287.0024271844661,1309.9069943880947,1310.2525773195875
147,1287.0024271844661,1309.9069943880947,1310.2525773195875
148,1287.0024271844661,1309.9069943880947,1310.2525773195875
149,1287.0024271844661,1309.9069943880947,1310.2525773195875
15,1272.7523148148148,1281.7330309456545,1288.502380952381
150,1287.0024271844661,1309.9069943880947,1310.2525773195875
151,1287.0024271844661,1309.9069943880947,1310.2525773195875
152,1287.0024271844661,1309.9069943880947,1310.2525773195875
153,1287.0024271844661,1309.9069943880947,1310.2525773195875
154,1287.0024271844661,1309.9069943880947,1310.2525773195875
155,1287.0024271844661,1309.9069943880947,1310.2525773195875
156,1287.0024271844661,1309.9069943880947,1310.2525773195875
157,1309.502336448598,1310.2500420942295,1310.2525773195875
158,1195.502358490566,1301.076796482081,1310.2525773195875
159,1195.502358490566,1303.2658762216001,1310.2525773195875
16,1272.7523148148148,1281.7330309456545,1288.502380952381
160,1309.502336448598,1310.250956894728,1310.2525773195875
161,1257.7524271844661,1305.9109069799579,1310.2525773195875
162,1163.2524271844661,1303.506068067098,1310.2525773195875
163,1163.2524271844661,1303.9873006037967,1310.2525773195875
164,1163.2524271844661,1304.2753311678184,1310.2525773195875
165,1163.2524271844661,1304.3342809541969,1310.2525773195875
166,1227.0026315789473,1304.3424559453965,1310.2525773195875
167,1227.0026315789473,1304.3424559453965,1310.2525773195875
168,1227.0026315789473,1304.7113045502142,1310.2525773195875
169,1257.7524271844661,1310.1751255051,1310.2525773195875
17,1272.7523148148148,1281.7330309456545,1288.502380952381
170,1199.2521008403362,1301.1409783646038,1310.2525773195875
171,1199.2521008403362,1299.4837496337852,1310.2525773195875
172,1199.2521008403362,1302.7401986463806,1310.2525773195875
173,1199.2521008403362,1302.678105787697,1310.2525773195875
174,1199.2521008403362,1304.8112783753072,1310.2525773195875
175,1199.2521008403362,1304.8312289075202,1310.2525773195875
176,1209.752380952381,1305.4687107386492,1310.2525773195875
177,1209.752380952381,1305.4687107386492,1310.2525773195875
178,1209.752380952381,1305.4721606972414,1310.2525773195875
179,1209.752380952381,1305.4731356927912,1310.2525773195875
18,1272.7523148148148,1281.7330309456545,1288.502380952381
180,1227.0021739130434,1305.4758356615541,1310.2525773195875
181,1227.0021739130434,1305.4758356615541,1310.2525773195875
182,1242.002192982456,1305.481610955189,1310.2525773195875
183,1242.002192982456,1305.481610955189,1310.2525773195875
184,1242.002192982456,1305.5120610771364,1310.2525773195875
185,1242.002192982456,1305.5120610771364,1310.2525773195875
186,1242.002192982456,1305.5120610771364,1310.2525773195875
187,1252.5023148148148,1306.668192926212,1310.2525773195875
188,1252.5023148148148,1306.668192926212,1310.2525773195875
189,1252.5023148148148,1306.668192926212,1310.2525773195875
19,1272.7523148148148,1281.7330309456545,1288.502380952381
190,1252.5023148148148,1306.668192926212,1310.2525773195875
191,1252.5023148148148,1306.668192926212,1310.2525773195875
192,1252.5023148148148,1306.668192926212,1310.2525773195875
193,1252.5023148148148,1306.668192926212,1310.2525773195875
194,1252.5023148148148,1306.668192926212,1310.2525773195875
195,1252.5023148148148,1306.668192926212,1310.2525773195875
196,1308.002380952381,1310.2474587498339,1310.2525773195875
197,1197.7524038461538,1301.1485940149657,1310.2525773195875
198,1197.7524038461538,1305.261884537418,1310.2525773195875
199,1197.7524038461538,1304.9752697253653,1310.2525773195875
2,831.753164556962,1114.4990663947804,1155.002564102564
20,1272.752380952381,1285.1371615226362,1288.502380952381
200,1197.7524038461538,1306.1873523572804,1310.2525773195875
201,1204.5021551724137,1308.8838091159173,1310.2525773195875
202,1204.5021551724137,1308.915732945894,1310.2525773195875
203,1246.502659574468,1308.9241330467746,1310.2525773195875
204,1263.002232142857,1308.9274329612886,1310.2525773195875
205,1263.002232142857,1308.9274329612886,1310.2525773195875
206,1263.002232142857,1308.9274329612886,1310.2525773195875
207,1263.002232142857,1308.9274329612886,1310.2525773195875
208,1263.002232142857,1308.9274329612886,1310.2525773195875
209,1302.7524752475247,1310.246625405159,1310.2525773195875
21,1272.752380952381,1299.1047435405676,1309.502336448598
210,1224.752336448598,1303.3798247593097,1310.2525773195875
211,1224.752336448598,1307.445362827287,1310.2525773195875
212,1224.752336448598,1307.4397105869941,1310.2525773195875
213,1224.752336448598,1307.4181206489354,1310.2525773195875
214,1215.0023148148148,1307.381154326602,1310.2525773195875
215,1215.0023148148148,1307.3849042366853,1310.2525773195875
216,1215.0023148148148,1307.3849042366853,1310.2525773195875
217,1241.2522727272728,1307.7378528392835,1310.2525773195875
218,1241.2522727272728,1307.780977655869,1310.2525773195875
219,1260.002192982456,1308.060055560854,1310.2525773195875
