gen,worse,avg,best
0,828.7529761904761,979.8452931331253,1083.003048780488
1,828.7529761904761,987.142660773558,1083.003048780488
10,1089.002659574468,1159.261846321087,1163.2525510204082
100,1153.5025252525252,1175.3502630104688,1186.5024038461538
101,1153.5025252525252,1175.3502630104688,1186.5024038461538
102,1153.5025252525252,1175.3502630104688,1186.5024038461538
103,1153.5025252525252,1175.3502630104688,1186.5024038461538
104,1153.5025252525252,1175.3502630104688,1186.5024038461538
105,1153.5025252525252,1175.3502630104688,1186.5024038461538
106,1153.5025252525252,1175.3502630104688,1186.5024038461538
107,1153.5025252525252,1175.3502630104688,1186.5024038461538
108,1153.5025252525252,1175.3502630104688,1186.5024038461538
109,1153.5025252525252,1175.3502630104688,1186.5024038461538
11,1063.5026041666667,1159.2331185484404,1163.2525510204082
110,1153.5025252525252,1175.3502630104688,1186.5024038461538
111,1153.5025252525252,1175.3502630104688,1186.5024038461538
112,1153.5025252525252,1175.3502630104688,1186.5024038461538
113,1153.5025252525252,1175.3502630104688,1186.5024038461538
114,1153.5025252525252,1175.3502630104688,1186.5024038461538
115,1158.0025510204082,1177.4897909144797,1186.5024038461538
116,1075.5027472527472,1169.231266905097,1186.5024038461538
117,1075.5027472527472,1168.2887519516212,1186.5024038461538
118,1053.7526041666667,1167.8647986234832,1186.5024038461538
119,1053.7526041666667,1168.1392709165973,1186.5024038461538
12,1063.5026041666667,1159.2349185710852,1163.2525510204082
120,1053.7526041666667,1168.1284322286642,1186.5024038461538
121,1053.7526041666667,1168.1284322286642,1186.5024038461538
122,1054.5024752475247,1168.1285072157723,1186.5024038461538
123,1055.2525510204082,1168.7376697956554,1186.5024038461538
124,1083.002659574468,1170.4898767786353,1186.5024038461538
125,1083.002659574468,1170.4898767786353,1186.5024038461538
126,1083.002659574468,1170.4898767786353,1186.5024038461538
127,1083.002659574468,1170.4898767786353,1186.5024038461538
128,1083.002659574468,1170.4898767786353,1186.5024038461538
129,1083.002659574468,1170.4898767786353,1186.5024038461538
13,1072.5027173913043,1159.2389686071112,1163.2525510204082
130,1083.002659574468,1170.4898767786353,1186.5024038461538
131,1083.002659574468,1170.4898767786353,1186.5024038461538
132,1083.002659574468,1173.1391161544432,1186.5024038461538
133,1084.5024038461538,1173.66201915904,1186.5024038461538
134,1084.5024038461538,1173.66201915904,1186.5024038461538
135,1084.5024038461538,1173.6755196473198,1186.5024038461538
136,1115.252659574468,1173.6923942852843,1186.5024038461538
137,1119.0024509803923,1173.692769264425,1186.5024038461538
138,1119.0024509803923,1173.692769264425,1186.5024038461538
139,1119.0024509803923,1173.692769264425,1186.5024038461538
14,1089.002659574468,1159.3007689074468,1163.2525510204082
140,1119.0024509803923,1173.692769264425,1186.5024038461538
141,1119.0024509803923,1173.692769264425,1186.5024038461538
142,1119.0024509803923,1173.692769264425,1186.5024038461538
143,1119.0024509803923,1173.692769264425,1186.5024038461538
144,1119.0024509803923,1173.692769264425,1186.5024038461538
145,1119.0024509803923,1173.692769264425,1186.5024038461538
146,1119.0024509803923,1173.692769264425,1186.5024038461538
147,1119.0024509803923,1173.692769264425,1186.5024038461538
148,1119.0024509803923,1173.692769264425,1186.5024038461538
149,1119.0024509803923,1173.692769264425,1186.5024038461538
15,1089.002659574468,1159.3036188992214,1163.2525510204082
150,1119.0024509803923,1173.692769264425,1186.5024038461538
151,1119.0024509803923,1173.692769264425,1186.5024038461538
152,1119.0024509803923,1173.7143692215934,1186.5024038461538
153,1119.0024509803923,1173.7143692215934,1186.5024038461538
154,1119.0024509803923,1173.9807786251772,1186.5024038461538
155,1140.0025773195875,1174.008379416013,1186.5024038461538
156,1140.0025773195875,1174.013629605919,1186.5024038461538
157,1140.0025773195875,1175.2758998049242,1186.5024038461538
158,1140.0025773195875,1175.2758998049242,1186.5024038461538
159,1140.0025773195875,1175.2758998049242,1186.5024038461538
16,1089.002659574468,1159.3036188992214,1163.2525510204082
160,1140.0025773195875,1175.2758998049242,1186.5024038461538
161,1140.0025773195875,1175.2758998049242,1186.5024038461538
162,1140.0025773195875,1175.2758998049242,1186.5024038461538
163,1140.0025773195875,1175.2758998049242,1186.5024038461538
164,1158.0027472527472,1177.486643865515,1186.5024038461538
165,1113.7524038461538,1172.3137269879749,1186.5024038461538
166,1110.0025510204082,1171.3060834232224,1186.5024038461538
167,1107.7525510204082,1171.0771075258567,1186.5024038461538
168,1107.7525510204082,1172.8671097584115,1186.5024038461538
169,1107.7525510204082,1173.924323344426,1186.5024038461538
17,1089.002659574468,1159.3036188992214,1163.2525510204082
170,1107.7525510204082,1173.924323344426,1186.5024038461538
171,1110.0025510204082,1173.9537985084994,1186.5024038461538
172,1115.2526315789473,1173.9550736304213,1186.5024038461538
173,1115.2526315789473,1173.9592735878912,1186.5024038461538
174,1115.2526315789473,1173.9592735878912,1186.5024038461538
175,1115.2526315789473,1173.9592735878912,1186.5024038461538
176,1115.2526315789473,1173.9592735878912,1186.5024038461538
177,1115.2526315789473,1173.9986521945239,1186.5024038461538
178,1125.7525252525252,1174.0028521110469,1186.5024038461538
179,1125.7525252525252,1174.0028521110469,1186.5024038461538
18,1089.002659574468,1159.3036188992214,1163.2525510204082
180,1125.7525252525252,1174.0028521110469,1186.5024038461538
181,1125.7525252525252,1174.0028521110469,1186.5024038461538
182,1125.7525252525252,1174.0028521110469,1186.5024038461538
183,1125.7525252525252,1174.0028521110469,1186.5024038461538
184,1125.7525252525252,1174.0028521110469,1186.5024038461538
185,1125.7525252525252,1174.0028521110469,1186.5024038461538
186,1125.7525252525252,1174.0028521110469,1186.5024038461538
187,1135.5027472527472,1174.0359233514243,1186.5024038461538
188,1135.5027472527472,1174.0359233514243,1186.5024038461538
189,1135.5027472527472,1174.7698190680971,1186.5024038461538
19,1091.2527472527472,1159.3038439079892,1163.2525510204082
190,1135.5027472527472,1174.7698190680971,1186.5024038461538
191,1135.5027472527472,1174.7698190680971,1186.5024038461538
192,1135.5027472527472,1174.7698190680971,1186.5024038461538
193,1135.5027472527472,1174.7698190680971,1186.5024038461538
194,1135.5027472527472,1174.7698190680971,1186.5024038461538
195,1135.5027472527472,1174.7698190680971,1186.5024038461538
196,1135.5027472527472,1174.7698190680971,1186.5024038461538
197,1137.0030120481927,1177.5685333543283,1186.5024038461538
198,1137.0030120481927,1177.5685333543283,1186.5024038461538
199,1137.0030120481927,1177.5685333543283,1186.5024038461538
2,834.0029069767442,1036.0311728822655,1096.5027173913043
20,1091.2527472527472,1159.3038439079892,1163.2525510204082
200,1137.0030120481927,1177.5685333543283,1186.5024038461538
201,1137.0030120481927,1177.5685333543283,1186.5024038461538
202,1137.0030120481927,1177.5685333543283,1186.5024038461538
203,1163.2525510204082,1179.6285175071944,1186.5024038461538
204,1057.5026315789473,1169.7621529101643,1186.5024038461538
205,1057.5025510204082,1167.8573464122467,1186.5024038461538
206,1057.5025510204082,1167.9942655431682,1186.5024038461538
207,1057.5025510204082,1167.8837406711846,1186.5024038461538
208,1057.5025510204082,1167.8506263142895,1186.5024038461538
209,1057.5025510204082,1170.815888885866,1186.5024038461538
21,1095.7524509803923,1159.304293878362,1163.2525510204082
210,1057.5025510204082,1171.4508362252227,1186.5024038461538
211,1057.5025510204082,1174.9851528218844,1186.5024038461538
212,1062.7526041666667,1175.3768865746895,1186.5024038461538
213,1098.7524509803923,1175.4392866273172,1186.5024038461538
214,1122.752380952381,1175.4596863282784,1186.5024038461538
215,1122.752380952381,1175.5076804664761,1186.5024038461538
216,1122.7530120481927,1175.6719314532331,1186.5024038461538
217,1125.7525510204082,1175.6731312688223,1186.5024038461538
218,1125.7525510204082,1175.6731312688223,1186.5024038461538
219,1125.7525510204082,1175.6731312688223,1186.5024038461538
22,1095.7524509803923,1159.304293878362,1163.2525510204082
220,1125.7525510204082,1175.6731312688223,1186.5024038461538
221,1125.7525510204082,1175.6731312688223,1186.5024038461538
222,1125.7525510204082,1175.687982017119,1186.5024038461538
223,1125.7525510204082,1175.687982017119,1186.5024038461538
224,1141.502659574468,1179.623517535609,1186.5024038461538
225,1146.002659574468,1176.869967709734,1186.5024038461538
226,1118.2524271844661,1175.9286040156696,1186.5024038461538
227,1118.2524271844661,1176.1897311352511,1186.5024038461538
228,1118.2524271844661,1176.1897311352511,1186.5024038461538
229,1118.2524271844661,1176.1897311352511,1186.5024038461538
23,1095.7524509803923,1159.304293878362,1163.2525510204082
230,1118.2524271844661,1176.2408817094213,1186.5024038461538
231,1128.752688172043,1176.245081813816,1186.5024038461538
232,1128.752688172043,1176.245081813816,1186.5024038461538
