gen,worse,avg,best
0,831.7528089887641,1034.599482045234,1151.2525906735752
1,831.7528089887641,1097.7922003567767,1185.752538071066
10,939.7530487804878,1200.4183870690524,1232.2526041666667
100,1182.7525773195875,1231.0353380247143,1232.2526041666667
101,1191.0025510204082,1231.046587837748,1232.2526041666667
102,1191.0025510204082,1231.046587837748,1232.2526041666667
103,1191.0025510204082,1231.046587837748,1232.2526041666667
104,1191.0025510204082,1231.0834907835128,1232.2526041666667
105,1191.0025510204082,1231.0834907835128,1232.2526041666667
106,1191.0025510204082,1253.6229781928316,1270.5025252525252
107,1191.0025510204082,1253.6229781928316,1270.5025252525252
108,1191.0025510204082,1253.6229781928316,1270.5025252525252
109,1194.0024752475247,1266.3803070066735,1270.5025252525252
11,1094.252538071066,1200.4521369596914,1232.2526041666667
110,1194.7525252525252,1269.7971514104877,1270.5025252525252
111,1200.7525510204082,1269.7985013797904,1270.5025252525252
112,1200.7525510204082,1269.8015013597824,1270.5025252525252
113,1200.7525510204082,1269.8015013597824,1270.5025252525252
114,1200.7525510204082,1269.8015013597824,1270.5025252525252
115,1200.7525510204082,1269.8015013597824,1270.5025252525252
116,1200.7525510204082,1269.8015013597824,1270.5025252525252
117,1200.7525510204082,1269.8015013597824,1270.5025252525252
118,1200.7525510204082,1269.8015013597824,1270.5025252525252
119,1200.7525510204082,1269.8015013597824,1270.5025252525252
12,1117.5025252525252,1200.4769619468007,1232.2526041666667
120,1200.7525510204082,1269.8015013597824,1270.5025252525252
121,1200.7525510204082,1269.8015013597824,1270.5025252525252
122,1200.7525510204082,1269.8015013597824,1270.5025252525252
123,1200.7525510204082,1269.8015013597824,1270.5025252525252
124,1200.7525510204082,1269.8015013597824,1270.5025252525252
125,1200.7525510204082,1269.8015013597824,1270.5025252525252
126,1200.7525510204082,1269.8015013597824,1270.5025252525252
127,1203.002840909091,1269.8017263887712,1270.5025252525252
128,1203.002840909091,1269.8017263887712,1270.5025252525252
129,1203.002840909091,1269.8017263887712,1270.5025252525252
13,1130.2525510204082,1213.0832452829393,1232.2526041666667
130,1203.002840909091,1269.8017263887712,1270.5025252525252
131,1203.002840909091,1269.8017263887712,1270.5025252525252
132,1203.002840909091,1269.8017263887712,1270.5025252525252
133,1203.002840909091,1269.8017263887712,1270.5025252525252
134,1203.002840909091,1269.8017263887712,1270.5025252525252
135,1203.002840909091,1269.8017263887712,1270.5025252525252
136,1203.002840909091,1269.8017263887712,1270.5025252525252
137,1203.002840909091,1269.8017263887712,1270.5025252525252
138,1203.002840909091,1269.8017263887712,1270.5025252525252
139,1203.002840909091,1269.8017263887712,1270.5025252525252
14,1130.2525510204082,1213.0832452829393,1232.2526041666667
140,1203.002840909091,1269.8017263887712,1270.5025252525252
