gen,worse,avg,best
0,561.5061728395061,678.1789274860607,740.0049751243781
1,561.5061728395061,679.271829713528,740.0049751243781
10,720.5052356020942,826.0928078514172,837.0049019607843
100,798.0055555555556,845.7951953810964,850.005
101,800.5052631578948,846.5433334377017,850.005
102,800.5052631578948,846.5433334377017,850.005
103,800.5052631578948,846.6182871394569,850.005
104,800.5052631578948,846.6182871394569,850.005
105,800.5052631578948,846.6182871394569,850.005
106,800.5052631578948,846.6182871394569,850.005
107,800.5052631578948,846.6182871394569,850.005
108,800.5052631578948,846.6182871394569,850.005
109,800.5052631578948,846.6182871394569,850.005
11,720.5052356020942,828.9554751711335,837.0049019607843
110,800.5052631578948,846.6182871394569,850.005
111,800.5052631578948,846.6182871394569,850.005
112,800.5052631578948,846.6182871394569,850.005
113,800.5052631578948,846.6182871394569,850.005
114,800.5052631578948,846.6182871394569,850.005
115,809.005,846.6257866582137,850.005
116,809.005,846.6257866582137,850.005
117,809.005,846.6257866582137,850.005
118,809.005,846.6257866582137,850.005
119,809.005,846.6257866582137,850.005
12,753.5046728971963,834.9627578879615,837.0049019607843
120,809.005,846.6257866582137,850.005
121,809.005,846.6257866582137,850.005
122,809.005,846.6257866582137,850.005
123,809.005,846.6257866582137,850.005
124,809.005,846.6257866582137,850.005
125,809.005,846.6257866582137,850.005
126,809.005,846.6257866582137,850.005
127,809.005,846.6257866582137,850.005
128,809.005,846.6257866582137,850.005
129,809.005,846.6257866582137,850.005
13,758.0052083333334,834.9632079415052,837.0049019607843
130,809.005,846.6257866582137,850.005
131,809.005,846.6257866582137,850.005
132,809.005,846.6257866582137,850.005
133,811.5047169811321,846.664827259687,850.005
134,811.5047169811321,846.664827259687,850.005
135,811.5047169811321,846.664827259687,850.005
136,811.5047169811321,846.664827259687,850.005
137,811.5047169811321,846.664827259687,850.005
138,811.5047169811321,846.664827259687,850.005
139,811.5047169811321,846.664827259687,850.005
14,758.0052083333334,843.5584604415089,850.005
140,811.5047169811321,846.664827259687,850.005
141,811.5047169811321,846.664827259687,850.005
142,811.5047169811321,846.664827259687,850.005
143,811.5047169811321,846.664827259687,850.005
144,811.5047169811321,846.664827259687,850.005
145,811.5047169811321,846.664827259687,850.005
146,811.5047169811321,846.664827259687,850.005
147,811.5047169811321,846.664827259687,850.005
148,811.5047169811321,846.664827259687,850.005
149,811.5047169811321,846.664827259687,850.005
